student_id,assignment_score,midterm_score,final_score,attendance_percent,total_score,exam_denied,pass_fail
1,68.7,80.5,60.9,68.7,69.12,False,Pass
2,52.5,73.4,48.9,67.5,57.33,False,Pass
3,74.0,49.2,54.5,100.0,58.76,False,Pass
4,76.3,37.5,73.4,86.6,63.5,False,Pass
5,41.6,15.5,62.1,75.8,41.97,False,Fail
6,49.4,51.8,68.1,90.0,57.6,False,Pass
7,66.5,96.3,74.1,37.9,78.48,False,Pass
8,61.2,66.5,55.3,79.1,60.43,False,Pass
9,64.8,51.6,75.6,100.0,65.16,False,Pass
10,54.8,67.0,68.8,82.6,64.06,False,Pass
11,75.6,36.6,39.8,81.4,49.58,False,Fail
12,74.3,55.5,88.0,91.0,74.14,False,Pass
13,65.8,61.5,53.0,97.9,59.39,False,Pass
14,78.5,58.7,32.2,40.1,54.04,False,Pass
15,70.6,71.9,43.2,46.4,60.03,False,Pass
16,54.7,65.2,43.6,84.2,53.41,False,Pass
17,69.4,70.0,62.9,65.7,66.98,False,Pass
18,53.5,49.7,57.1,100.0,53.8,False,Pass
19,75.5,73.5,55.9,73.7,67.06,False,Pass
20,64.4,84.4,73.2,41.3,73.92,False,Pass
21,62.8,45.4,68.1,54.6,59.7,False,Pass
22,56.8,46.7,67.7,25.0,58.13,False,Pass
23,79.7,80.0,69.4,75.3,75.67,False,Pass
24,63.1,57.1,73.1,76.2,65.3,False,Pass
25,59.9,81.1,24.1,71.5,51.94,False,Pass
26,60.8,53.4,55.4,100.0,56.42,False,Pass
27,71.4,81.8,22.8,100.0,55.08,False,Pass
28,69.4,62.0,62.6,76.6,64.46,False,Pass
29,70.0,63.9,61.9,37.3,64.93,False,Pass
30,70.2,83.5,80.8,92.3,78.43,False,Pass
31,90.7,54.6,83.4,91.1,76.95,False,Pass
32,60.1,45.9,65.6,86.2,58.04,False,Pass
33,58.9,53.3,53.0,99.6,54.86,False,Pass
34,55.2,66.8,70.7,56.7,64.88,False,Pass
35,72.4,36.5,52.5,100.0,53.67,False,Pass
36,78.5,69.6,62.0,60.8,69.23,False,Pass
37,63.6,51.9,79.8,95.0,66.57,False,Pass
38,54.9,77.2,52.0,46.3,60.43,False,Pass
39,55.1,24.1,76.5,61.4,54.36,False,Pass
40,72.8,48.2,74.2,100.0,65.98,False,Pass
41,73.9,34.7,44.8,74.8,50.5,False,Pass
42,71.5,47.6,79.5,96.8,67.53,False,Pass
43,57.0,63.7,74.6,84.7,66.05,False,Pass
44,67.8,57.3,63.8,77.9,63.05,False,Pass
45,66.4,56.2,48.3,100.0,56.1,False,Pass
46,67.6,57.6,46.5,75.3,56.16,False,Pass
47,75.5,63.1,52.3,44.4,62.5,False,Pass
48,67.7,44.9,71.8,63.9,62.5,False,Pass
49,73.1,70.6,44.8,91.0,61.03,False,Pass
50,65.8,69.9,69.9,87.9,68.67,False,Pass
51,68.5,65.8,39.6,48.7,56.13,False,Pass
52,72.6,68.3,58.3,65.5,65.59,False,Pass
53,47.5,64.4,64.0,68.4,59.17,False,Pass
54,61.2,90.5,100.0,72.7,85.51,False,Pass
55,59.4,58.7,37.2,52.5,50.31,False,Pass
56,57.3,55.4,88.5,67.4,69.21,False,Pass
57,61.7,48.7,64.7,65.4,59.0,False,Pass
58,82.9,44.5,69.4,95.4,65.98,False,Pass
59,54.6,41.3,64.1,96.2,54.41,False,Pass
60,76.6,46.7,70.0,77.1,64.99,False,Pass
61,44.8,58.9,59.2,72.2,54.79,False,Pass
62,61.0,65.0,88.2,82.8,73.08,False,Pass
63,67.0,60.8,53.8,63.7,59.86,False,Pass
64,72.0,48.5,82.4,57.1,69.11,False,Pass
65,73.5,73.5,50.4,61.2,64.26,False,Pass
66,74.5,71.1,60.9,67.3,68.04,False,Pass
67,60.8,57.6,42.7,56.7,52.6,False,Pass
68,59.5,50.2,70.2,83.2,60.99,False,Pass
69,75.3,68.2,88.0,94.6,78.25,False,Pass
70,62.7,62.8,60.6,48.3,61.89,False,Pass
71,49.7,38.3,58.5,80.5,49.8,False,Fail
72,51.4,59.0,41.9,75.6,49.88,False,Fail
73,54.0,63.9,57.9,86.8,58.53,False,Pass
74,71.0,46.5,33.3,79.7,48.57,False,Fail
75,66.7,62.8,45.6,50.9,57.09,False,Pass
76,73.3,38.2,66.1,54.8,59.89,False,Pass
77,59.9,80.0,85.7,80.6,76.25,False,Pass
78,66.9,78.7,100.0,100.0,83.68,False,Pass
79,72.5,56.2,51.4,35.7,59.17,False,Pass
80,61.3,65.5,87.8,86.9,73.16,False,Pass
81,70.5,23.9,66.4,100.0,54.88,False,Pass
82,57.1,42.7,59.3,76.9,53.66,False,Pass
83,60.6,55.6,69.8,91.0,62.78,False,Pass
84,60.4,43.9,63.1,65.9,56.53,False,Pass
85,50.6,70.7,64.0,77.6,61.99,False,Pass
86,70.8,90.0,54.7,47.6,70.12,False,Pass
87,59.4,42.4,36.8,33.1,45.26,False,Fail
88,65.1,47.4,34.2,98.9,47.43,False,Fail
89,70.8,63.5,73.8,60.3,69.81,False,Pass
90,70.4,84.2,57.0,70.9,69.18,False,Pass
91,73.0,41.7,51.3,52.3,54.93,False,Pass
92,63.8,63.7,62.2,51.8,63.13,False,Pass
93,59.9,87.3,76.3,76.5,74.68,False,Pass
94,64.0,35.2,65.2,65.4,55.84,False,Pass
95,44.8,40.8,50.2,87.6,45.76,False,Fail
96,47.6,53.6,84.1,89.1,64.0,False,Pass
97,49.1,52.2,90.4,86.4,66.55,False,Pass
98,53.0,72.2,70.9,84.8,65.92,False,Pass
99,69.8,63.6,79.5,100.0,71.82,False,Pass
100,54.1,33.4,84.4,58.6,60.01,False,Pass
101,60.5,67.7,82.3,78.9,71.38,False,Pass
102,80.6,51.3,73.1,100.0,68.81,False,Pass
103,60.7,79.1,72.8,100.0,71.06,False,Pass
104,73.9,50.6,71.4,51.6,65.91,False,Pass
105,53.8,50.5,42.2,73.8,48.17,False,Fail
106,62.5,68.1,74.6,100.0,69.02,False,Pass
107,53.6,71.4,37.6,90.2,52.54,False,Pass
108,60.9,66.7,47.7,83.9,57.36,False,Pass
109,75.1,34.7,85.5,75.6,67.14,False,Pass
110,44.3,68.1,77.1,72.3,64.56,False,Pass
111,70.2,44.5,88.8,85.8,69.93,False,Pass
112,67.9,63.5,57.1,75.0,62.26,False,Pass
113,57.9,38.6,41.3,79.1,45.47,False,Fail
114,47.6,66.7,57.7,81.6,57.37,False,Pass
115,65.9,47.9,63.8,66.4,59.66,False,Pass
116,58.6,40.8,63.4,90.6,55.18,False,Pass
117,67.8,70.7,82.4,100.0,74.51,False,Pass
118,65.3,63.6,55.5,44.5,60.87,False,Pass
119,84.2,50.8,68.3,86.5,67.82,False,Pass
120,62.1,81.8,44.2,64.8,60.85,False,Pass
121,52.7,53.4,70.1,91.5,59.87,False,Pass
122,67.2,60.5,62.1,80.9,63.15,False,Pass
123,67.6,64.0,48.5,95.2,58.88,False,Pass
124,81.3,50.7,57.8,100.0,62.72,False,Pass
125,75.0,67.1,58.7,83.8,66.11,False,Pass
126,69.3,52.0,57.1,100.0,59.23,False,Pass
127,82.6,53.8,93.9,33.1,78.48,False,Pass
128,50.7,80.4,60.2,100.0,63.41,False,Pass
129,57.3,44.4,57.6,87.5,53.55,False,Pass
